artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,uri_count,rank_mean,lowest_rank,highest_rank,rank_median,streams_mean,streams_max,streams_min,streams_median,streams_sum,first_date,last_date
Young Thug,pick up the phone,0.711,0.739,7.0,-3.804,0.0,0.129,0.114,0.0,0.226,0.43,136.919,spotify:track:20dP2DaMHIAmwWAbp7peSr,252256.0,4.0,341.0,111.91202346041055,200.0,39.0,103.0,251042.3431085044,380130.0,155949.0,244773.0,85605439.0,2017-01-01,2018-01-21
KYLE,iSpy (feat. Lil Yachty),0.746,0.653,7.0,-6.745,1.0,0.289,0.378,0.0,0.229,0.672,75.016,spotify:track:2EEeOnHehOozLq4aS0n6SL,253107.0,4.0,493.0,73.05679513184585,199.0,2.0,72.0,517082.20081135904,1299465.0,182050.0,337091.0,254921525.0,2017-01-01,2018-06-03
Sia,Cheap Thrills,0.628,0.698,6.0,-5.608,0.0,0.105,0.0472,0.00143,0.0907,0.732,89.976,spotify:track:3S4px9f4lceWdKf0gWciFu,211667.0,4.0,35.0,137.45714285714286,199.0,41.0,131.0,195825.7142857143,376934.0,136208.0,183634.0,6853900.0,2017-01-01,2019-01-01
Rihanna,Needed Me,0.671,0.314,5.0,-8.091,0.0,0.244,0.11,0.0,0.0825,0.296,110.898,spotify:track:4pAl7FkDMNBsjykPXo91B3,191600.0,4.0,164.0,130.1341463414634,200.0,42.0,144.0,225597.95731707316,344210.0,158078.0,211812.0,36998065.0,2017-01-01,2017-08-11
Major Lazer,Cold Water (feat. Justin Bieber & MØ),,,,,,,,,,,,,,,,,,,,,,,,,,
Desiigner,Panda,0.685,0.731,10.0,-5.503,0.0,0.414,0.0292,0.0,0.369,0.266,145.245,spotify:track:275a9yzwGB6ncAW4SxY7q3,247867.0,4.0,196.0,146.08163265306123,200.0,44.0,162.0,206304.75,332310.0,141234.0,195301.0,40435731.0,2017-01-01,2017-08-10
Alessia Cara,Scars To Your Beautiful,0.573,0.739,0.0,-5.74,1.0,0.129,0.0285,0.0,0.111,0.451,97.085,spotify:track:0prNGof3XqfTvNDxHonvdK,230227.0,4.0,116.0,119.18103448275862,200.0,30.0,129.5,254706.14655172414,426331.0,153160.0,222893.0,29545913.0,2017-01-01,2017-05-04
Shawn Mendes,Mercy,0.555,0.662,11.0,-4.952,0.0,0.0827,0.125,0.0,0.111,0.356,148.128,spotify:track:0AS63m1wHv9n4VVRizK6Hc,208733.0,4.0,125.0,112.472,200.0,27.0,119.0,265276.176,446052.0,156741.0,229082.0,33159522.0,2017-01-01,2017-05-11
J. Cole,Neighbors,0.898,0.283,6.0,-12.335,0.0,0.356,0.319,0.000383,0.11,0.469,138.97,spotify:track:0utlOiJy2weVl9WTkcEWHy,216520.0,4.0,268.0,130.61567164179104,200.0,36.0,131.0,222750.7276119403,378035.0,149683.0,214254.0,59697195.0,2017-01-01,2018-04-20
Rihanna,Work,0.725,0.534,11.0,-6.238,1.0,0.0946,0.0752,0.0,0.0919,0.558,91.974,spotify:track:72TFWvU3wUYdUuxejTTIzt,219320.0,4.0,81.0,147.87654320987653,198.0,48.0,156.0,192875.64197530865,316050.0,149512.0,187170.0,15622927.0,2017-01-01,2017-04-02
Rae Sremmurd,Swang,0.681,0.314,8.0,-9.319,1.0,0.0581,0.2,9.82e-06,0.1,0.166,139.992,spotify:track:6mapJIPnQ23RTAevUoE0DL,208120.0,4.0,354.0,78.2316384180791,200.0,21.0,64.0,367779.1892655367,681122.0,160366.0,326625.0,130193833.0,2017-01-01,2018-01-21
The Weeknd,Six Feet Under,0.772,0.504,6.0,-8.219,0.0,0.0761,0.129,0.0,0.125,0.244,140.035,spotify:track:4mU5iXHeLgbR94siF7p1sY,237573.0,4.0,77.0,92.64935064935065,184.0,39.0,80.0,278479.9090909091,400908.0,160800.0,285176.0,21442953.0,2017-01-01,2017-03-18
Adele,Send My Love (To Your New Lover),0.69,0.524,6.0,-8.39,0.0,0.103,0.0415,3.16e-06,0.17,0.562,164.023,spotify:track:4BHzQ9C00ceJxfG16AlNWb,223080.0,4.0,36.0,168.69444444444446,200.0,53.0,175.5,165706.02777777778,302383.0,129096.0,156568.0,5965417.0,2017-01-01,2017-02-16
John Legend,Love Me Now,0.488,0.762,8.0,-3.842,1.0,0.0865,0.591,0.0,0.0763,0.709,123.889,spotify:track:6nxQdXa1uAL0rY72wPZu89,210293.0,4.0,71.0,89.28169014084507,200.0,32.0,53.0,305669.1267605634,430860.0,151879.0,340362.0,21702508.0,2017-01-01,2017-03-16
Justin Bieber,Love Yourself,0.609,0.378,4.0,-9.828,1.0,0.438,0.835,0.0,0.28,0.515,100.418,spotify:track:50kpGaPAhYJ3sGmk6vplg0,233720.0,4.0,42.0,164.45238095238096,198.0,55.0,171.5,168757.02380952382,300179.0,139492.0,161021.0,7087795.0,2017-01-01,2017-02-16
Zay Hilfigerrr,Juju On That Beat (TZ Anthem),0.807,0.887,1.0,-3.892,1.0,0.275,0.00381,0.0,0.391,0.78,160.517,spotify:track:1lItf5ZXJc1by9SbPeljFd,144244.0,4.0,35.0,130.37142857142857,196.0,56.0,128.0,195195.08571428573,299010.0,152907.0,191151.0,6831828.0,2017-01-01,2017-02-19
Drake,Jumpman,0.852,0.553,1.0,-7.286,1.0,0.187,0.0559,0.0,0.332,0.656,142.079,spotify:track:27GmP9AWRs744SzKcpJsTZ,205879.0,4.0,121.0,140.4214876033058,198.0,57.0,143.0,207217.22314049586,297396.0,154457.0,203290.0,25073284.0,2017-01-01,2017-05-25
